time_s,line_x_raw,line_x_clean,line_x_interp,line_x,point_0_x,point_0_y,point_0_x_smooth,point_0_y_smooth,point_0_start_frame,point_0_rel_x_px,point_0_rel_x_interp_px,point_0_rel_x_smooth_px,point_0_v_x_px_s,point_0_a_x_px_s2,point_1_x,point_1_y,point_1_x_smooth,point_1_y_smooth,point_1_start_frame,point_1_rel_x_px,point_1_rel_x_interp_px,point_1_rel_x_smooth_px,point_1_v_x_px_s,point_1_a_x_px_s2,point_2_x,point_2_y,point_2_x_smooth,point_2_y_smooth,point_2_start_frame,point_2_rel_x_px,point_2_rel_x_interp_px,point_2_rel_x_smooth_px,point_2_v_x_px_s,point_2_a_x_px_s2,point_3_x,point_3_y,point_3_x_smooth,point_3_y_smooth,point_3_start_frame,point_3_rel_x_px,point_3_rel_x_interp_px,point_3_rel_x_smooth_px,point_3_v_x_px_s,point_3_a_x_px_s2
36.125,2346.9702995415055,2346.9702995415055,2346.9702995415055,2347.511048260579,,,,,36,,,,,,3372.0,749.0,3375.1361607142853,749.7492559523811,74,1024.4889517394208,1024.4889517394208,1027.5424902490265,108.0739455944356,-5.671220635809884,2349.0,1307.0,2350.3266369047615,1310.232886904762,372,1.488951739420827,1.488951739420827,2.7329664395027415,136.44001702300707,18.650207935646257,1326.0,957.0,1325.8668154761906,958.0647321428571,646,-1021.5110482605792,-1021.5110482605792,-1021.7268549890687,113.81501702300567,-60.314077778642876
36.166666666666664,2346.1809759011576,2346.1809759011576,2346.1809759011576,2347.66611179814,,,,,36,,,,,,3379.0,749.0,3379.773809523809,749.0126488095239,74,1031.3338882018602,1031.3338882018602,1032.0387661737527,107.18573025559513,-28.631303877751332,2356.0,1323.0,2356.1674107142853,1314.0498511904761,372,8.33388820186019,8.33388820186019,8.432367364228904,137.18573025559445,17.332981836506935,1329.0,966.0,1330.6956845238099,965.3645833333333,646,-1018.6661117981398,-1018.6661117981398,-1017.0393588262473,111.15894454131015,-58.952732449184936
36.208333333333336,2345.486497821162,,2347.6626253051663,2347.825304585019,,,,,36,,,,,,3385.0,748.0,3384.3504464285716,748.235119047619,74,1037.1746954149812,1037.1746954149812,1036.474634436993,105.68800360462292,-29.556386214444856,2359.0,1312.0,2362.0409226190473,1317.8177083333333,372,11.174695414981215,11.174695414981215,14.16511062746927,137.88443217604936,11.26504235701659,1340.0,968.0,1335.4122023809527,972.8511904761904,646,-1007.8253045850188,-1007.8253045850188,-1012.4636096106259,108.90228931890678,-48.52067192874584
36.25,2349.1442747091746,2349.1442747091746,2349.1442747091746,2347.9986104112436,,,,,36,,,,,,3388.0,748.0,3388.8616071428573,747.4159226190476,74,1040.0013895887564,1040.0013895887564,1040.8460998074715,104.72269807105799,-8.22231697950731,2369.0,1325.0,2367.9382440476184,1321.5111607142858,372,21.00138958875641,21.00138958875641,19.922736712233345,138.12448378534586,-1.5794598365846229,1341.0,979.0,1340.0513392857147,980.46875,646,-1006.9986104112436,-1006.9986104112436,-1007.9641680496715,107.11555521391455,-51.40088840800811
36.291666666666664,2350.007373713172,,2349.0537561531482,2348.1764956614984,,,,,36,,,,,,3386.0,745.0,3393.3556547619046,746.5699404761905,74,1037.8235043385016,1037.8235043385016,1045.201525942914,105.00281052299735,18.443675446241215,2373.0,1321.0,2373.8296130952376,1325.0364583333333,372,24.823504338501607,24.823504338501607,25.67548427624744,137.75281052300065,-10.913467410930965,1351.0,983.0,1344.6168154761908,988.1875,646,-997.1764956614984,-997.1764956614984,-1003.5373133428002,104.61888195157302,-77.44918169659242
36.333333333333336,2348.9632375971223,2348.9632375971223,2348.9632375971223,2348.3348071108885,,,,,36,,,,,,3393.0,745.0,3397.8883928571427,745.7135416666667,74,1044.6651928891115,1044.6651928891115,1049.5963340177216,106.25967102491147,37.05615034262448,2381.0,1335.0,2379.694196428571,1328.3221726190473,372,32.665192889111495,32.665192889111495,31.402137589150392,137.21502816776825,-8.693849657410036,1350.0,993.0,1349.046130952381,996.0386904761904,646,-998.3348071108885,-998.3348071108885,-999.2459278870401,100.66145673919833,-102.33670680028773
36.375,2349.5555910718094,2349.5555910718094,2349.5555910718094,2348.464359262237,,,,,36,,,,,,3400.0,744.0,3402.4866071428573,744.8541666666667,74,1051.535640737763,1051.535640737763,1054.0564985283236,108.09082305154948,52.51279680233873,2383.0,1328.0,2385.5401785714284,1331.40625,372,34.53564073776306,34.53564073776306,37.11006995689512,137.0283230515498,1.5127968023252556,1352.0,1003.0,1353.28125,1004.0714285714284,646,-996.4643592622369,-996.4643592622369,-995.1488586145334,96.0908230515488,-101.55863176911149
36.416666666666664,2349.8171287055898,2349.8171287055898,2349.8171287055898,2348.5816106154925,,,,,36,,,,,,3408.0,745.0,3407.1733630952385,744.0007440476192,74,1059.4183893845075,1059.4183893845075,1058.6039026053502,110.63573742510611,67.59581720693525,2392.0,1341.0,2391.390625,1334.3936011904761,372,43.41838938450746,43.41838938450746,42.821164510112226,137.34109456796202,11.238674349802203,1363.0,1006.0,1357.331101190476,1012.3124999999998,646,-985.5816106154925,-985.5816106154925,-991.2383592994115,92.19823742510619,-80.6898970787452
36.458333333333336,2347.673412859067,2347.673412859067,2347.673412859067,2348.7115126211465,,,,,36,,,,,,3413.0,745.0,3411.987351190476,743.172619047619,74,1064.2884873788535,1064.2884873788535,1063.2761433137493,113.72380781879424,66.21981370162263,2395.0,1334.0,2397.266369047619,1337.3630952380954,372,46.28848737885346,46.28848737885346,48.555161170892276,137.96487924736667,13.719813701677658,1363.0,1019.0,1361.2455357142853,1020.7604166666665,646,-985.7115126211465,-985.7115126211465,-987.465672162441,89.36666496165317,-59.24447201266067
36.5,2347.683316251599,2347.683316251599,2347.683316251599,2348.86077253381,,,,,36,,,,,,3421.0,745.0,3416.9367559523807,742.3802083333334,74,1072.1392274661898,1072.1392274661898,1068.08088659025,116.15405523357482,37.67358157989387,2405.0,1347.0,2403.174107142857,1340.345238095238,372,56.13922746618982,56.13922746618982,54.31823778072644,138.4844123764352,7.5664387227094245,1365.0,1027.0,1365.0647321428569,1029.3846726190475,646,-983.8607725338102,-983.8607725338102,-983.7911372192735,87.26119809071766,-46.96927556299437
